,n_steps
729,7.0
730,3.0
731,6.0
732,5.0
733,13.0
734,10.0
735,8.0
736,14.0
737,3.0
738,18.0
739,18.0
740,15.0
741,4.0
742,6.0
743,2.0
744,5.0
745,10.0
746,7.0
747,6.0
748,5.0
749,15.0
750,8.0
751,9.0
752,17.0
753,8.0
754,9.0
755,5.0
756,5.0
757,3.0
758,15.0
759,11.0
760,16.0
761,9.0
762,13.0
763,12.0
764,7.0
765,10.0
766,6.0
767,7.0
768,6.0
769,2.0
770,8.0
771,4.0
772,11.0
773,10.0
774,5.0
775,2.0
776,5.0
777,4.0
778,8.0
779,5.0
780,10.0
781,7.0
782,3.0
783,6.0
784,16.0
785,3.0
786,12.0
787,13.0
788,7.0
789,7.0
790,7.0
791,6.0
792,11.0
793,12.0
794,7.0
795,9.0
796,10.0
797,21.0
798,11.0
799,2.0
800,2.0
801,24.0
802,19.0
803,17.0
804,18.0
805,11.0
806,5.0
807,7.0
808,5.0
809,17.0
810,10.0
811,10.0
812,9.0
813,3.0
814,6.0
815,11.0
816,13.0
817,10.0
818,19.0
819,19.0
820,10.0
821,7.0
822,11.0
823,6.0
824,14.0
825,18.0
826,4.0
827,5.0
828,36.0
829,6.0
830,8.0
831,3.0
832,4.0
833,6.0
834,7.0
835,16.0
836,19.0
837,6.0
838,10.0
839,7.0
840,3.0
841,9.0
842,6.0
843,12.0
844,12.0
845,12.0
846,5.0
847,11.0
848,6.0
849,12.0
850,9.0
851,2.0
852,6.0
853,62.0
854,6.0
855,7.0
856,3.0
857,2.0
858,9.0
859,4.0
860,8.0
861,7.0
862,9.0
863,15.0
864,17.0
865,2.0
866,3.0
867,6.0
868,14.0
869,12.0
870,6.0
871,3.0
872,12.0
873,13.0
874,8.0
875,12.0
876,27.0
877,5.0
878,7.0
879,8.0
880,4.0
881,13.0
882,10.0
883,4.0
884,11.0
885,2.0
886,15.0
887,18.0
888,7.0
889,13.0
890,18.0
891,8.0
892,15.0
893,7.0
894,7.0
895,6.0
896,20.0
897,7.0
898,12.0
899,16.0
900,7.0
901,1.0
902,4.0
903,5.0
904,13.0
905,5.0
906,11.0
907,11.0
908,9.0
909,12.0
910,14.0
911,7.0
912,14.0
913,9.0
914,16.0
915,8.0
916,4.0
917,9.0
918,11.0
919,13.0
920,9.0
921,12.0
922,11.0
923,6.0
924,14.0
925,8.0
926,3.0
927,12.0
928,8.0
929,7.0
930,10.0
931,3.0
932,20.0
933,11.0
934,7.0
935,5.0
936,17.0
937,4.0
938,8.0
939,11.0
940,20.0
941,10.0
942,7.0
943,18.0
944,17.0
945,9.0
946,4.0
947,12.0
948,1.0
949,3.0
